title,label,label_name,topic,word_count,age_days,f1_original_recomputed,f1_lexical_only,f1_konjunktiv_ii_only,f1_no_generic_verbs,f1_strong_uncertainty_only,f1_lexical_count,f1_konjunktiv_ii_count,f1_no_generic_count,f1_strong_uncertainty_count
Drehstrom-Versuchsstrecke Groß-Lichterfelde–Zehlendorf,1,stable,geography,1810,6775,1.1049723756906078,1.1049723756906078,0.0,1.1049723756906078,0.5524861878453039,2,0,2,1
Ifo-Geschäftsklimaindex,0,contested,politics_history,1643,7779,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Halsamphora des Exekias (Berlin F 1720),1,stable,politics_history,1781,7148,2.2459292532285233,2.2459292532285233,0.0,2.2459292532285233,1.6844469399213924,4,0,4,3
Klaus Berger (Theologe),0,contested,culture,5550,7120,2.1621621621621623,2.1621621621621623,0.0,1.2612612612612613,0.7207207207207207,12,0,7,4
Elias Canetti,1,stable,culture,5504,7178,0.7267441860465116,0.7267441860465116,0.0,0.5450581395348837,0.1816860465116279,4,0,3,1
Fußball in England,0,contested,culture,8496,7206,0.4708097928436911,0.4708097928436911,0.0,0.4708097928436911,0.23540489642184556,4,0,4,2
Uralische Sprachen,1,stable,culture,7959,7024,1.5077271013946476,1.1307953260459858,0.3769317753486619,1.5077271013946476,0.6282196255811031,9,3,9,5
Wilhelm Aumer,0,contested,culture,5775,2146,0.8658008658008658,0.6926406926406926,0.17316017316017315,0.8658008658008658,0.3463203463203463,4,1,4,2
Geneviève Thiroux d’Arconville,1,stable,culture,5869,2259,1.0223206679161698,0.8519338899301414,0.1703867779860283,0.6815471119441132,0.1703867779860283,5,1,3,1
Bund des russischen Volkes,0,contested,geography,4156,5808,0.9624639076034649,0.9624639076034649,0.0,0.7218479307025986,0.24061597690086622,4,0,3,1
Dschabal Sindschar,1,stable,geography,4231,6027,0.2363507445048452,0.0,0.2363507445048452,0.2363507445048452,0.0,0,1,0,0
Kaufmännischer Verband Schweiz,0,contested,geography,1990,7773,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lendkanal,1,stable,geography,2039,7454,0.4904364884747425,0.4904364884747425,0.0,0.4904364884747425,0.4904364884747425,1,0,1,1
Erzgebirgischer Schwibbogen,0,contested,geography,1863,8102,1.0735373054213635,1.0735373054213635,0.0,1.0735373054213635,0.5367686527106817,2,0,2,1
Tokugawa Ieyasu,1,stable,geography,1892,8029,2.6427061310782243,2.6427061310782243,0.0,2.6427061310782243,1.0570824524312896,5,0,5,2
Kameralistik,0,contested,politics_history,5903,7024,1.355243096730476,1.0164323225478569,0.338810774182619,1.355243096730476,0.0,6,2,6,0
Parkeisenbahn Wuhlheide,1,stable,politics_history,6250,7054,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Street Football/Episodenliste,0,contested,culture,5143,5086,1.74995139023916,0.7777561734396267,0.9721952167995334,1.3610733035193467,0.38887808671981333,4,5,2,2
Apatheia,1,stable,culture,4792,5265,1.4607679465776293,1.4607679465776293,0.0,1.2520868113522536,0.0,7,0,6,0
Revisionismus,0,contested,politics_history,2070,8074,0.4830917874396135,0.4830917874396135,0.0,0.4830917874396135,0.4830917874396135,1,0,1,1
Oliver-Hazard-Perry-Klasse,1,stable,politics_history,2061,7712,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ökostrom,0,contested,science,6638,5211,0.4519433564326605,0.30129557095510695,0.15064778547755348,0.4519433564326605,0.15064778547755348,2,1,2,1
Physikalische Größe,1,stable,science,6692,5691,0.14943215780035862,0.14943215780035862,0.0,0.0,0.0,1,0,0,0
Holy Spirit,0,contested,culture,2604,1951,1.152073732718894,0.7680491551459293,0.38402457757296465,1.152073732718894,0.0,2,1,2,0
Ringo (Ballade),1,stable,culture,2764,2579,0.361794500723589,0.0,0.361794500723589,0.361794500723589,0.0,0,1,0,0
Etikettierungsansatz,0,contested,politics_history,2806,6285,1.069137562366358,0.7127583749109052,0.3563791874554526,0.7127583749109052,0.0,2,1,1,0
Yorktown-Klasse (1937),1,stable,politics_history,2912,6767,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Michael Vassiliadis,0,contested,politics_history,1670,7127,0.5988023952095808,0.0,0.5988023952095808,0.5988023952095808,0.0,0,1,0,0
Catarina (Schiff),1,stable,politics_history,1731,6980,2.8885037550548818,2.310803004043905,0.5777007510109763,2.8885037550548818,0.5777007510109763,4,1,4,1
Parov Stelar,0,contested,culture,2939,6966,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Édouard Nanny,1,stable,culture,2965,6920,1.6863406408094435,1.349072512647555,0.3372681281618887,1.6863406408094435,0.6745362563237775,4,1,4,2
Reinhold Tüxen,0,contested,geography,4380,7475,0.45662100456621,0.45662100456621,0.0,0.45662100456621,0.228310502283105,2,0,2,1
Carrara-Marmor,1,stable,geography,4575,7630,0.4371584699453552,0.2185792349726776,0.2185792349726776,0.4371584699453552,0.2185792349726776,1,1,1,1
Naturwissenschaft und Religion,0,contested,culture,5940,6019,1.6835016835016834,1.5151515151515151,0.16835016835016836,1.0101010101010102,0.16835016835016836,9,1,5,1
Metallica (Album),1,stable,culture,5993,6421,0.5005840146837978,0.5005840146837978,0.0,0.5005840146837978,0.1668613382279326,3,0,3,1
Angela Merici,0,contested,culture,2983,8039,0.670465973851827,0.670465973851827,0.0,0.670465973851827,0.670465973851827,2,0,2,2
Fish and Chips,1,stable,culture,2808,8086,0.7122507122507122,0.7122507122507122,0.0,0.7122507122507122,0.3561253561253561,2,0,2,1
Biphobie,0,contested,politics_history,1604,6535,1.2468827930174564,1.2468827930174564,0.0,0.6234413965087282,0.6234413965087282,2,0,1,1
Fester Wechselkurs,1,stable,politics_history,1675,6609,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Troy Davis,0,contested,politics_history,2785,6205,1.436265709156194,1.436265709156194,0.0,1.436265709156194,1.0771992818671454,4,0,4,3
"Dorsetshire (Schiff, 1930)",1,stable,politics_history,2897,5775,0.34518467380048323,0.0,0.34518467380048323,0.34518467380048323,0.0,0,1,0,0
Oberösterreichische Versicherung,0,contested,geography,2203,6905,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Lubok,1,stable,geography,2360,6702,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Kornische Sprache,0,contested,culture,3344,8397,2.3923444976076556,1.4952153110047848,0.8971291866028709,2.3923444976076556,0.29904306220095694,5,3,5,1
Buch Tobit,1,stable,culture,3748,8372,1.6008537886873,1.6008537886873,0.0,1.6008537886873,1.0672358591248667,6,0,6,4
George Peabody,0,contested,culture,1917,7564,0.0,0.0,0.0,0.0,0.0,0,0,0,0
George Alsop,1,stable,culture,2251,7685,7.107952021323856,6.219458018658374,0.888494002665482,7.107952021323856,3.9982230119946687,14,2,14,9
Intrexx,0,contested,science,2212,5393,3.6166365280289328,3.6166365280289328,0.0,2.7124773960216997,0.0,8,0,6,0
Coniophis,1,stable,science,2358,5038,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Politikverdrossenheit,0,contested,politics_history,5765,8385,2.2549869904596704,1.7346053772766694,0.5203816131830009,2.0815264527320037,0.8673026886383347,10,3,9,5
George Mason,1,stable,politics_history,5432,7668,1.840942562592047,1.288659793814433,0.5522827687776142,1.840942562592047,1.288659793814433,7,3,7,7
Nursultan Nasarbajew,0,contested,geography,3675,8066,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Diolkos,1,stable,geography,3917,8181,3.8294613224406433,2.808271636456472,1.0211896859841716,3.8294613224406433,1.7870819504723003,11,4,11,7
Biofeedback,0,contested,science,2459,8066,1.2200081333875559,1.2200081333875559,0.0,1.2200081333875559,0.813338755591704,3,0,3,2
Theorie der endlichen Kugelpackungen,1,stable,science,2497,7939,1.6019223067681216,1.2014417300760913,0.4004805766920304,1.2014417300760913,0.4004805766920304,3,1,2,1
Kindertagesbetreuung,0,contested,politics_history,3747,7665,0.26688017080330934,0.26688017080330934,0.0,0.26688017080330934,0.0,1,0,1,0
Wieslauftalbahn,1,stable,politics_history,3685,7828,0.542740841248304,0.542740841248304,0.0,0.542740841248304,0.271370420624152,2,0,2,1
Geschichte Äquatorialguineas,0,contested,geography,4830,7164,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Mesolongi,1,stable,geography,4885,7284,1.0235414534288638,1.0235414534288638,0.0,0.818833162743091,0.4094165813715455,5,0,4,2
Self Storage,0,contested,culture,2405,6942,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Adolf von Kröner,1,stable,culture,2360,7312,0.423728813559322,0.0,0.423728813559322,0.423728813559322,0.0,0,1,0,0
Thomas Ball Barratt,0,contested,culture,3881,7063,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Madlax,1,stable,culture,3843,6909,1.3010668748373666,1.0408534998698933,0.2602133749674733,0.78064012490242,0.5204267499349466,4,1,2,2
