title,label,label_name,topic,word_count,age_days,f2_hyland_only
Wälder und Wiesen bei Malsch,1,stable,geography,4405,804,0.4132231404958678
Institut für Zeitgeschichte,0,contested,geography,3634,7983,0.0
Urnenfelderkultur,1,stable,geography,3438,8134,0.0
Humanitäre Intervention,0,contested,politics_history,2407,8070,0.0
Projekt A119,1,stable,politics_history,2352,8033,0.0
Weltraumhabitat,0,contested,science,4891,5444,0.0
Raffinerieexplosion in Texas City,1,stable,science,4849,5195,0.0
Klassenpolitik,0,contested,politics_history,2527,5247,0.5060728744939271
Tabernae (Rheinzabern),1,stable,politics_history,2493,5545,0.47709923664122134
Kennedy-Methode,0,contested,science,2231,7211,0.468384074941452
Galle,1,stable,science,2257,7649,0.0
Tiroler Festspiele Erl,0,contested,culture,2212,5566,0.0
Slughorn,1,stable,culture,2067,5642,0.0
Heinrich von Brentano,0,contested,culture,1727,8229,0.0
Geschmackliche Schärfe,1,stable,culture,1890,8128,0.0
Bulgarische Wiedergeburt,0,contested,geography,4416,7138,0.3687315634218289
Elisabeth von Weida,1,stable,geography,4396,7118,0.0
Schulweg,0,contested,politics_history,1634,7342,2.4489795918367347
Operation Earnest Will,1,stable,politics_history,1676,7322,0.0
Lindisfarne Castle,0,contested,geography,1782,7600,0.930232558139535
Eliezer Ben-Jehuda,1,stable,geography,1931,7577,0.0
Apadravya,0,contested,science,2037,7570,0.0
Laufhühnchen,1,stable,science,1999,7514,0.0
Spervogelton,0,contested,culture,3667,5740,0.5934718100890207
Year Zero,1,stable,culture,3494,5529,0.5333333333333333
MHealth,0,contested,science,3078,3992,0.0
Fraktursonografie,1,stable,science,3136,4153,0.0
Sozionik und intertypische Beziehungen,0,contested,science,8239,7440,0.7665772326561902
Porsche 930,1,stable,science,6837,7511,0.0
Bürgerversicherung,0,contested,geography,1641,8330,1.7006802721088434
Grunewaldsee,1,stable,geography,1514,7961,0.78125
Kuno Raeber,0,contested,culture,1776,6648,0.0
Garfield Akers,1,stable,culture,1516,7209,0.0
Wandervogel,0,contested,geography,7752,7632,0.3456619426201175
Ziehenschule,1,stable,geography,7411,7637,0.3527959075674722
GS1,0,contested,politics_history,2105,6574,0.0
"Seawolf (U-Boot, 1957)",1,stable,politics_history,2077,6750,0.0
Franz Ruppert,0,contested,culture,3026,4336,0.0
Wilhelm Kühnert,1,stable,culture,3270,4915,0.0
Sanktuarium der Barmherzigkeit Gottes,0,contested,culture,3222,4935,0.0
GateKeeper (Cedar Point),1,stable,culture,3262,5010,0.0
Disneyland Park (Paris),0,contested,culture,6462,4414,0.0
Ismar Boas,1,stable,culture,6046,4441,0.0
Entführung von Michal Kováč jun.,0,contested,geography,3140,4964,0.6823609689525759
East Brother Light Station,1,stable,geography,3236,4822,0.0
Wiktor Juschtschenko,0,contested,geography,2728,7813,0.48685491723466406
Bremer Wappen,1,stable,geography,2799,7563,0.0
International Christian Fellowship,0,contested,geography,4062,5032,0.4221190375685943
Gresgen,1,stable,geography,3968,5156,0.0
Uniface,0,contested,science,3193,8031,0.0
Wiesenweihe,1,stable,science,3411,7967,0.40404040404040403
Mary Baker Eddy,0,contested,culture,1555,8101,0.0
Gerrard Winstanley,1,stable,culture,1522,7732,0.0
Dorje Shugden,0,contested,culture,3353,6448,0.0
Britische Mount-Everest-Expedition 1922,1,stable,culture,3215,6594,0.0
Nichtregierungsorganisation,0,contested,politics_history,6021,5427,0.2656042496679947
Straßenbahn München Baureihe R,1,stable,politics_history,5812,5115,0.0
HolidayCheck Group,0,contested,geography,2018,6426,0.0
Drehstrom-Versuchsstrecke Groß-Lichterfelde–Zehlendorf,1,stable,geography,1810,6775,0.0
Ifo-Geschäftsklimaindex,0,contested,politics_history,1643,7779,1.2820512820512822
Halsamphora des Exekias (Berlin F 1720),1,stable,politics_history,1781,7148,0.6325110689437066
Klaus Berger (Theologe),0,contested,culture,5550,7120,0.6122448979591837
Elias Canetti,1,stable,culture,5504,7178,0.47483380816714155
Fußball in England,0,contested,culture,8496,7206,0.2458210422812193
Uralische Sprachen,1,stable,culture,7959,7024,0.0
Wilhelm Aumer,0,contested,culture,5775,2146,0.0
Geneviève Thiroux d’Arconville,1,stable,culture,5869,2259,0.29568302779420463
Bund des russischen Volkes,0,contested,geography,4156,5808,0.4616805170821791
Dschabal Sindschar,1,stable,geography,4231,6027,0.7254261878853826
Kaufmännischer Verband Schweiz,0,contested,geography,1990,7773,0.0
Lendkanal,1,stable,geography,2039,7454,0.0
Erzgebirgischer Schwibbogen,0,contested,geography,1863,8102,0.0
Tokugawa Ieyasu,1,stable,geography,1892,8029,0.0
Kameralistik,0,contested,politics_history,5903,7024,0.45004500450045004
Parkeisenbahn Wuhlheide,1,stable,politics_history,6250,7054,0.0
Street Football/Episodenliste,0,contested,culture,5143,5086,0.8847600088476001
Apatheia,1,stable,culture,4792,5265,1.5995734470807783
Revisionismus,0,contested,politics_history,2070,8074,0.0
Oliver-Hazard-Perry-Klasse,1,stable,politics_history,2061,7712,1.1376564277588168
Ökostrom,0,contested,science,6638,5211,0.2077274615704196
Physikalische Größe,1,stable,science,6692,5691,0.0
Holy Spirit,0,contested,culture,2604,1951,0.4224757076468103
Ringo (Ballade),1,stable,culture,2764,2579,0.0
Etikettierungsansatz,0,contested,politics_history,2806,6285,0.4725897920604915
Yorktown-Klasse (1937),1,stable,politics_history,2912,6767,0.0
Michael Vassiliadis,0,contested,politics_history,1670,7127,0.0
Catarina (Schiff),1,stable,politics_history,1731,6980,0.0
Parov Stelar,0,contested,culture,2939,6966,0.0
Édouard Nanny,1,stable,culture,2965,6920,1.2315270935960592
Reinhold Tüxen,0,contested,geography,4380,7475,0.0
Carrara-Marmor,1,stable,geography,4575,7630,0.0
Naturwissenschaft und Religion,0,contested,culture,5940,6019,0.21982853374367994
Metallica (Album),1,stable,culture,5993,6421,0.31387319522912743
Angela Merici,0,contested,culture,2983,8039,0.0
Fish and Chips,1,stable,culture,2808,8086,0.5254860746190225
Biphobie,0,contested,politics_history,1604,6535,0.0
Fester Wechselkurs,1,stable,politics_history,1675,6609,0.0
Troy Davis,0,contested,politics_history,2785,6205,0.0
"Dorsetshire (Schiff, 1930)",1,stable,politics_history,2897,5775,0.0
Oberösterreichische Versicherung,0,contested,geography,2203,6905,0.0
Lubok,1,stable,geography,2360,6702,0.9823182711198427
Kornische Sprache,0,contested,culture,3344,8397,0.0
Buch Tobit,1,stable,culture,3748,8372,0.0
George Peabody,0,contested,culture,1917,7564,0.0
George Alsop,1,stable,culture,2251,7685,0.0
Intrexx,0,contested,science,2212,5393,0.0
Coniophis,1,stable,science,2358,5038,0.0
Politikverdrossenheit,0,contested,politics_history,5765,8385,0.5955926146515784
George Mason,1,stable,politics_history,5432,7668,0.4472271914132379
Nursultan Nasarbajew,0,contested,geography,3675,8066,0.0
Diolkos,1,stable,geography,3917,8181,0.0
Biofeedback,0,contested,science,2459,8066,0.6770480704129993
Theorie der endlichen Kugelpackungen,1,stable,science,2497,7939,0.5277044854881267
Kindertagesbetreuung,0,contested,politics_history,3747,7665,0.39698292973402144
Wieslauftalbahn,1,stable,politics_history,3685,7828,0.0
Geschichte Äquatorialguineas,0,contested,geography,4830,7164,0.0
Mesolongi,1,stable,geography,4885,7284,0.7029053420805998
Self Storage,0,contested,culture,2405,6942,0.0
Adolf von Kröner,1,stable,culture,2360,7312,0.0
Thomas Ball Barratt,0,contested,culture,3881,7063,0.0
Madlax,1,stable,culture,3843,6909,0.3556187766714083
"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",0,contested,politics_history,2826,6830,0.4103405826836274
Fünfjahrplan (Briefmarkenserie),1,stable,politics_history,3042,6924,0.0
Unicredit Bank Austria,0,contested,geography,4408,7649,0.0
Kloster Himmelkron,1,stable,geography,4657,7798,0.0
Politisches System Japans,0,contested,geography,3643,7615,0.31387319522912743
Craters of the Moon National Monument,1,stable,geography,3380,7639,0.7955449482895784
Al-Andalus,0,contested,geography,4645,6363,0.0
Basler Fasnacht,1,stable,geography,4586,6279,0.0
