title,label,label_name,topic,topic_specific,lang,hedging_density,def_ratio,citation_count,section_count,unique_editors,age_days,recency_ratio,revert_count,talk_words,talk_editors,word_count
Oliver-Hazard-Perry-Klasse,1,stable,politics_history,History_and_Society.Military_and_warfare,de,3.413,0.0171,3,15,127,7712,0.021,0,483,5,2061
Ökostrom,0,contested,science,STEM.STEM*,de,1.4541,0.0281,99,27,240,5211,0.01,0,368,22,6638
Physikalische Größe,1,stable,science,STEM.STEM*,de,0.7893,0.1346,30,30,176,5691,0.004,0,681,25,6692
Holy Spirit,0,contested,culture,Culture.Media.Media*,de,1.2674,0.066,15,6,15,1951,0.006,0,74,2,2604
Ringo (Ballade),1,stable,culture,Culture.Media.Media*,de,0.0,0.039,34,9,15,2579,0.0,0,13653,9,2764
Etikettierungsansatz,0,contested,politics_history,History_and_Society.Society,de,0.4726,0.0385,28,11,53,6285,0.022,0,1846,21,2806
Yorktown-Klasse (1937),1,stable,politics_history,History_and_Society.Military_and_warfare,de,0.0,0.0141,29,18,83,6767,0.0,0,1020,9,2912
Michael Vassiliadis,0,contested,politics_history,History_and_Society.Business_and_economics,de,5.0302,0.0,40,15,115,7127,0.038,0,1237,9,1670
Catarina (Schiff),1,stable,politics_history,History_and_Society.Transportation,de,6.156,0.0693,2,10,64,6980,0.008,0,2696,9,1731
Parov Stelar,0,contested,culture,Culture.Media.Music,de,0.0,0.0145,24,16,238,6966,0.022,0,402,12,2939
Édouard Nanny,1,stable,culture,Culture.Media.Music,de,3.2841,0.0086,14,15,59,6920,0.0,0,936,2,2965
Reinhold Tüxen,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,8.94,0.01,73,17,113,7475,0.076,0,1626,12,4380
Carrara-Marmor,1,stable,geography,Geography.Regions.Europe.Southern_Europe,de,0.7468,0.0321,30,21,174,7630,0.004,0,2612,18,4575
Naturwissenschaft und Religion,0,contested,culture,Culture.Philosophy_and_religion,de,2.8578,0.0181,60,26,170,6019,0.017,0,5301,15,5940
Metallica (Album),1,stable,culture,Culture.Media.Music,de,0.9416,0.0217,92,18,153,6421,0.018,0,3085,13,5993
Angela Merici,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0191,2,11,136,8039,0.014,0,33,1,2983
Fish and Chips,1,stable,culture,Culture.Food_and_drink,de,0.0,0.0276,37,11,316,8086,0.024,2,56,28,2808
Biphobie,0,contested,politics_history,History_and_Society.Society,de,1.0616,0.0612,33,8,260,6535,0.004,0,299,2,1604
Fester Wechselkurs,1,stable,politics_history,History_and_Society.Business_and_economics,de,0.9425,0.1061,29,19,87,6609,0.0,0,3243,9,1675
Troy Davis,0,contested,politics_history,History_and_Society.Politics_and_government,de,2.5526,0.0,36,9,147,6205,0.0,0,6023,15,2785
"Dorsetshire (Schiff, 1930)",1,stable,politics_history,History_and_Society.Military_and_warfare,de,0.9124,0.0,30,18,99,5775,0.002,0,2146,15,2897
Oberösterreichische Versicherung,0,contested,geography,Geography.Regions.Europe.Western_Europe,de,0.0,0.0175,91,15,43,6905,0.015,0,309,1,2203
Lubok,1,stable,geography,Geography.Regions.Europe.Eastern_Europe,de,0.9823,0.0108,24,11,74,6702,0.0,0,1573,11,2360
Kornische Sprache,0,contested,culture,Culture.Linguistics,de,0.4805,0.04,16,13,167,8397,0.007,1,1140,18,3344
Buch Tobit,1,stable,culture,Culture.Literature,de,1.9218,0.0275,34,14,167,8372,0.013,0,1127,12,3748
George Peabody,0,contested,culture,Culture.Biography.Biography*,de,2.3966,0.0141,14,5,57,7564,0.012,0,574,7,1917
George Alsop,1,stable,culture,Culture.Biography.Biography*,de,3.9062,0.0756,11,4,42,7685,0.0,0,1119,8,2251
Intrexx,0,contested,science,STEM.STEM*,de,1.7182,0.0088,22,7,27,5393,0.0,0,282,7,2212
Coniophis,1,stable,science,STEM.STEM*,de,0.0,0.0,53,7,23,5038,0.013,0,1535,5,2358
Politikverdrossenheit,0,contested,politics_history,History_and_Society.Politics_and_government,de,1.9853,0.0344,31,20,247,8385,0.012,0,3911,30,5765
George Mason,1,stable,politics_history,History_and_Society.Politics_and_government,de,4.025,0.0107,44,18,74,7668,0.081,0,2345,6,5432
Nursultan Nasarbajew,0,contested,geography,Geography.Regions.Asia.Asia*,de,1.3819,0.0254,58,12,267,8066,0.005,0,656,19,3675
Diolkos,1,stable,geography,Geography.Regions.Europe.Southern_Europe,de,2.0644,0.0,96,15,117,8181,0.021,0,5457,15,3917
Biofeedback,0,contested,science,STEM.Medicine_&_Health,de,3.3852,0.022,30,10,162,8066,0.018,0,351,12,2459
Theorie der endlichen Kugelpackungen,1,stable,science,STEM.STEM*,de,0.0,0.0762,18,14,154,7939,0.003,0,7551,11,2497
Kindertagesbetreuung,0,contested,politics_history,History_and_Society.Education,de,5.5578,0.0414,47,18,102,7665,0.02,0,713,8,3747
Wieslauftalbahn,1,stable,politics_history,History_and_Society.Transportation,de,2.6385,0.0056,36,19,177,7828,0.038,0,222,22,3685
Geschichte Äquatorialguineas,0,contested,geography,Geography.Regions.Africa.Africa*,de,0.0,0.0333,66,27,96,7164,0.01,0,172,4,4830
Mesolongi,1,stable,geography,Geography.Regions.Europe.Southern_Europe,de,1.4058,0.0461,14,27,118,7284,0.038,0,1752,17,4885
Self Storage,0,contested,culture,Culture.Biography.Biography*,de,0.0,0.0746,71,17,121,6942,0.009,0,190,12,2405
Adolf von Kröner,1,stable,culture,Culture.Biography.Biography*,de,0.5464,0.0,17,11,78,7312,0.007,0,1263,7,2360
Thomas Ball Barratt,0,contested,culture,Culture.Biography.Biography*,de,1.5156,0.008,17,23,89,7063,0.01,0,138,2,3881
Madlax,1,stable,culture,Culture.Literature,de,2.1337,0.06,40,14,56,6909,0.0,0,7392,13,3843
"Föderaler Öffentlicher Dienst Auswärtige Angelegenheiten, Außenhandel und Entwicklungszusammenarbeit",0,contested,politics_history,History_and_Society.Politics_and_government,de,0.0,0.0472,10,24,42,6830,0.0,0,0,0,2826
Fünfjahrplan (Briefmarkenserie),1,stable,politics_history,History_and_Society.History,de,0.8772,0.0142,8,8,73,6924,0.0,0,6709,22,3042
Unicredit Bank Austria,0,contested,geography,Geography.Regions.Europe.Europe*,de,2.2883,0.0345,64,38,202,7649,0.007,0,1063,12,4408
Kloster Himmelkron,1,stable,geography,Geography.Regions.Europe.Europe*,de,1.3744,0.0343,27,23,83,7798,0.0,1,5486,9,4657
Politisches System Japans,0,contested,geography,Geography.Regions.Asia.East_Asia,de,1.8832,0.0582,7,18,166,7615,0.006,0,3472,16,3643
Craters of the Moon National Monument,1,stable,geography,Geography.Geographical,de,1.1933,0.0845,19,10,80,7639,0.006,0,847,10,3380
