title,label,label_name,topic,word_count,age_days,f4_current_biased_count,f4_current_neutral_count,f4_current_total_count,f4_current_ratio_min3,f4_current_ratio_min2,f4_current_ratio_min1,f4_current_ratio_no_threshold,f4_current_smoothed_ratio,f4_current_biased_density,f4_current_neutral_density,f4_expanded_biased_count,f4_expanded_neutral_count,f4_expanded_total_count,f4_expanded_ratio_min3,f4_expanded_smoothed_ratio,f4_expanded_biased_density,f4_expanded_neutral_density
Projekt A119,1,stable,politics_history,2352,8033,1,8,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.15,0.42517006802721086,3.401360544217687,1,8,9,0.1111111111111111,0.15,0.42517006802721086,3.401360544217687
Weltraumhabitat,0,contested,science,4891,5444,0,2,2,,0.0,0.0,0.0,0.16666666666666666,0.0,0.40891433244735226,0,2,2,,0.16666666666666666,0.0,0.40891433244735226
Raffinerieexplosion in Texas City,1,stable,science,4849,5195,1,9,10,0.1,0.1,0.1,0.1,0.13636363636363635,0.20622808826562178,1.856052794390596,4,9,13,0.3076923076923077,0.32142857142857145,0.8249123530624871,1.856052794390596
Klassenpolitik,0,contested,politics_history,2527,5247,1,9,10,0.1,0.1,0.1,0.1,0.13636363636363635,0.3957261574990107,3.561535417491096,3,9,12,0.25,0.2692307692307692,1.187178472497032,3.561535417491096
Tabernae (Rheinzabern),1,stable,politics_history,2493,5545,0,4,4,0.0,0.0,0.0,0.0,0.1,0.0,1.604492579221821,0,4,4,0.0,0.1,0.0,1.604492579221821
Kennedy-Methode,0,contested,science,2231,7211,0,10,10,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,4.482294935006723,0,10,10,0.0,0.045454545454545456,0.0,4.482294935006723
Galle,1,stable,science,2257,7649,0,1,1,,,0.0,0.0,0.25,0.0,0.44306601683650865,0,1,1,,0.25,0.0,0.44306601683650865
Tiroler Festspiele Erl,0,contested,culture,2212,5566,3,2,5,0.6,0.6,0.6,0.6,0.5833333333333334,1.3562386980108498,0.9041591320072332,3,2,5,0.6,0.5833333333333334,1.3562386980108498,0.9041591320072332
Slughorn,1,stable,culture,2067,5642,1,3,4,0.25,0.25,0.25,0.25,0.3,0.4837929366231253,1.4513788098693758,1,3,4,0.25,0.3,0.4837929366231253,1.4513788098693758
Heinrich von Brentano,0,contested,culture,1727,8229,0,1,1,,,0.0,0.0,0.25,0.0,0.5790387955993052,2,1,3,0.6666666666666666,0.625,1.1580775911986103,0.5790387955993052
